Train No.,From,To,Train Name
10001/10002,Balaghat,Jabalpur ,Satpura
10103/10104   ,Mumbai CST,Madgaon,Mandov
10111/10112   ,Mumbai CST,Madgaon,Konkan Kanya
10215/10216  ,Madgaon,Ernakulam,
11001/11002  ,Sai Nagar Shirdi,Pandharpur,
11003/11004   ,Dadar,Sawantwadi Road,Rajya Ran
11005/11006  ,Dadar,Puducherry,
11007/11008   ,Mumbai CST,Pune,Deccan
11009/11010   ,Mumbai CST,Pune,Sinhagad
11013/11014  ,Lokmanya Tilak (T),Coimbatore,
11015/11016   ,Lokmanya Tilak (T),Gorakhpur,Kushinagar
11017/11018  ,Lokmanya Tilak (T),Karaikka,
11019/11020   ,Mumbai CST,Bhubaneswar,Konark
11021/11022  ,Dadar,Tirunelveli,
11023/11024  ,Mumbai CST,Sri Chhatrapati Shahu Maharaj (T),Sahyadri
11025/11026  ,Bhusaval,Pune,
11027/11028   ,Mumbai CST,Chennai,Mail
11029/11030  ,Mumbai CST,Sri Chhatrapati Shahu Maharaj (T),Koyna
11031/11032  ,Mumbai CST,Hazur Saheb Nanded,
11033/11034  ,Pune,Darbhanga,
11035/11036   ,Dadar,Mysore,Sharavati
11037/11038  ,Pune,Gorakhpur,
11039/11040 ,Sri Chhatrapati  Shahu Maharaj (T),Gondia,Maharashtra
11041/11042  ,Mumbai CST,Chennai,
11043/11044  ,LokmanyaTilak (T),Madurai,
11045/11046   ,Sri Chhatrapati Shahu Maharaj (T),Dhanbad,Deekshabhoomi
11047/11048 ,Miraj ,Hubli,
11049/11050  ,Ahmedabad,Sri Chhatrapati Shahu Maharaj (T),
11051/11052  ,Solapur,Sri Chhatrapati Shahu Maharaj (T),
11055/11056   ,LokmanyaTilak (T),Gorakhpur,Godaan
11057/11058  ,LokmanyaTilak (T),Amritsar,
11059/11060   ,LokmanyaTilak (T),Chhapra,Godaan
11061/11062  ,LokmanyaTilak (T),Muzaffarpur,
11063/11064  ,Chennai Egmore,Salem,
11065/11066  ,LokmanyaTilak (T),Darbhanga,
11067/11068   ,LokmanyaTilak (T),Faizabad,Sake
11069/11070  ,LokmanyaTilak (T),Allahabad,
11071/11072   ,LokmanyaTilak (T),Varanasi,Kamayani
11077/11078   ,Pune,Jammu,Tawi Jhelum
11087/11088  ,Veraval,Pune,
11089/11090  ,Jodhpur,Pune,
11091/11092  ,Bhuj,Pune,
11093/11094   ,Mumbai CST,Varanasi,Mahanagari
11095/11096   ,Ahmedabad,Pune,Ahimsa
11097/11098   ,Pune,Ernakulam,Poorna
11103/11104  ,Jhansi,Bandra (T),
11105/11106   ,Kolkata,Jhansi,Pratham Swatantrata Sangram
11107/11108   ,Gwalior,Varanasi,Bundelkhand
11109/11110 ,Jhansi ,Lucknow ,Intercity
11123/11124  ,Barauni,Gwalior,Mail
11125/11126  ,Indore,Jhansi,
11201/11202  ,Lokmanya Tilak (T),Ajni (Nagpur),
11203/11204  ,Nagpur,Ajmer,
11205/11206  ,Lokmanya Tilak (T),Nizamabad,
11265/11266  ,Jabalpur,Ambikapur,
11271/11272  ,Itarsi,Bhopal ,Vindhyachal
